X,Y,OBJECTID,LDTC_TypeDescription,LDLI_Category,Library,Branch,SecondaryName,LDLI_Address1,LDLI_City,LDLI_State,LDLI_Zip,LDLI_County,LDLI_AddPhones,LDLI_FAX,LDLI_email,LDLI_URL,Longitude,Latitude,GlobalID
-122.46649,47.18787,1,Academic Libraries,2-year,Bates Technical College Library Downtown Campus,Bates Technical College Library South Campus,,"2201 S 78th St, Room E201",Tacoma,WA,98409-9000,Pierce,(253) 680-7550,2536807551,library@batestech.edu,http://www.batestech.edu/library,-122.46649,47.18787,{7CAA814D-9BEA-420E-A423-B054C7B9A817}
-122.3014338,47.3886269000001,2,Academic Libraries,2-year,Highline College Library,Highline College Library,,MS 25-4,Des Moines,WA,98198-2714,King,2065923230,2068703776,gventura@highline.edu,http://library.highline.edu,-122.3014338,47.3886269,{2817F188-F8C0-425A-A72D-879D1B488206}
-122.31288,48.4383800000001,3,Academic Libraries,2-year,"Skagit Valley College, Norwood Cole Library","Skagit Valley College, Norwood Cole Library",,2405 E College Way,Mount Vernon,WA,98273-5899,Skagit,360-416-7850,3604167698,mv.library@skagit.edu,http://library.skagit.edu,-122.31288,48.43838,{3713A670-5A60-4129-B5BC-9A8068FF7065}
-122.63513,48.28909,4,Academic Libraries,2-year,"Skagit Valley College, Norwood Cole Library",Whidbey Island Campus Library,,1900 SE Pioneer Way,Oak Harbor,WA,98277-3099,Island,360-679-5322,,,library.skagit.edu,-122.63513,48.28909,{2B3B539B-BAE5-466B-88A7-373FA45B1D16}
-122.92952,47.02372,5,Academic Libraries,2-year,South Puget Sound Community College Library,South Puget Sound Community College Library,,2011 Mottman Rd SW,Olympia,WA,98512-6292,Thurston,(360) 596-5271,,library@spscc.edu,https://spscc.edu/library,-122.92952,47.02372,{3947AF25-4527-46E1-9E0C-6281B61E1A62}
-117.46955,47.67479,6,Academic Libraries,2-year,Spokane Falls Community College,Spokane Falls Community College,,3410 W Fort George Wright Drive,Spokane,WA,99224-5288,Spokane,509-533-3805,5095333144,Referencedesk.sfcc@sfcc.spokane.edu,http://sfcc.spokane.edu/For-Our-Students/Libraries,-117.46955,47.67479,{AEF3A311-C1C2-4045-980A-824FCE24ECF6}
-122.5213,47.2464900000001,7,Academic Libraries,2-year,Tacoma Community College,Tacoma Community College,,"6501 S 19th Street, Building 7",Tacoma,WA,98466-6139,Pierce,(253) 566-5087,,library@tacomacc.edu,http://tacomacc.libguides.com/TCCLibrary,-122.5213,47.24649,{AD23FB17-11AE-4ECF-8E47-E0D0C536D362}
-119.3258,47.1840800000001,8,Academic Libraries,2-year,Big Bend Community College,Big Bend Community College,,"7662 Chanute St., Building 1800",Moses Lake,WA,98837,Grant,(509) 793-2350,,librarymail@bigbend.edu,http://libguides.bigbend.edu/home,-119.3258,47.18408,{B7E9A636-634E-4FEB-9E38-E2023A0502F2}
-122.65257,45.63433,9,Academic Libraries,2-year,Cannell Library,Cannell Library,,1933 Fort Vancouver Way,Vancouver,WA,98663,Clark,360-992-2151,3609922869,,http://library.clark.edu,-122.65257,45.63433,{B7E64A4B-4530-4485-A606-F7EBB14A9545}
-122.1506,47.5867400000001,10,Academic Libraries,2-year,Bellevue College,Bellevue College,,3000 Landerholm Circle SE D260,Bellevue,WA,98007-6484,King,425-564-2255,4255646186,reference@bellevuecollege.edu,https://bellevuecollege.edu/lmc,-122.1506,47.58674,{5387528C-14F4-4BC8-8403-9D02067CE49E}
-122.48194,45.6167600000001,11,Academic Libraries,2-year,Cannell Library,iCommons at CTC,,18700 SE Mill Plain Blvd.,Vancouver,WA,98683,Clark,360-992-6138,,,library.clark.edu,-122.48194,45.61676,{A768F693-104A-4ECD-914F-102B65C9F08A}
-122.44649,47.2519600000001,12,Academic Libraries,2-year,Bates Technical College Library Downtown Campus,Bates Technical College Library Downtown Campus,,"Bates Technical College, 1101 S Yakima Ave, Tacoma",Tacoma,WA,98405-4895,Pierce,(253) 680-7220,2536807221,library@batestech.edu,http://www.batestech.edu/Library,-122.44649,47.25196,{A1AB25A9-30EF-4DF4-A323-989F3FB79FDF}
-118.2835,46.0789500000001,13,Academic Libraries,2-year,Walla Walla Community College Library,Walla Walla Community College Library,,500 Tausick Way,Walla Walla,WA,99362-9267,Walla Walla,(509) 527-4294,5095274480,library@wwcc.edu,https://www.wwcc.edu/library/,-118.2835,46.07895,{24DFCAFB-7470-4280-8DC8-4BAF91297BDC}
-120.33485,47.43053,14,Academic Libraries,2-year,John A. Brown Library,John A. Brown Library,,1300 5th St,Wenatchee,WA,98801-1799,Chelan,509-682-6710,5096826711,Library@wvc.edu,http://www.wvc.edu/library/,-120.33485,47.43053,{3CFEEB43-1C63-486E-BBA2-CA602B58F55F}
-119.53101,48.4123200000001,15,Academic Libraries,2-year,John A. Brown Library,Wenatchee Valley College at Omak,,116 West Apple Ave,Omak,WA,98841,Okanogan,509-422-7830,5094227831,tskirko@wvc.edu,http://www.wvc.edu/library,-119.53101,48.41232,{04D631EF-A32E-4546-A04D-8E6FA380CB66}
